COMBUSTIBLE,ESTADO,MODELO,FECHA_DE_REGISTRO,CLASIFICACION,CLASE,SERVICIO,MARCA,LINEA,CARROCERIA,CILINDRAJE,MODALIDAD,ORGANISMO_TRANSITO,MUNICIPIO,DEPARTAMENTO,CAPACIDAD_CARGA,CAPACIDAD_PASAJEROS,PESO,POTENCIA,EJES,CANTIDAD
ELECTRICO,ACTIVO,2020,2021,AUTOMOVIL,CAMIONETA,Particular,RENAULT,KANGOO ZE,PANEL,,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,2190,60,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,AUTOMOVIL,Particular,BMW,I3,HATCH BACK,0,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,1345,170,2,1
ELECTRICO,ACTIVO,2017,2017,MOTO,MOTOCICLETA,Particular,STÄRKER,HUNTER,SIN CARROCERIA,50,PASAJEROS,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,,1200,0,1
ELECTRICO,ACTIVO,2023,2022,AUTOMOVIL,CAMIONETA,Particular,BYD,YUAN PRO EV,WAGON,0,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,1980,134,2,1
ELECTRICO,ACTIVO,2019,2021,AUTOMOVIL,CAMION,Público,STARK,STQ1079L02Y1NBEV,ESTIBAS,0,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,3020,,7365,161,2,1
ELECTRICO,ACTIVO,2020,2020,MOTO,MOTOCICLETA,Particular,SONGI,GS80T / SJ2000DT-D,SIN CARROCERIA,50,PASAJEROS,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,,2000,0,1
ELECTRICO,ACTIVO,2022,2021,AUTOMOVIL,AUTOMOVIL,Particular,BYD,E1,HATCH BACK,0,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,1445,60,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,CUADRICICLO,Particular,ORANSH,M2 HIGH SPEED,SIN CARROCERIA,,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,,10,2,1
ELECTRICO,ACTIVO,2020,2019,AUTOMOVIL,AUTOMOVIL,Particular,NISSAN,LEAF,HATCH BACK,0,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,1988,147,2,1
ELECTRICO,ACTIVO,2020,2019,AUTOMOVIL,CAMIONETA,Público,RENAULT,KANGOO ZE,PANEL,,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,535,,2190,60,2,1
