date, pm25, pm10, no2
2024/6/28, 63, , 16
2024/6/29, 63, , 11
2024/6/30, 57, , 7
2024/7/1, 62, , 10
2024/1/2, 78, , 9
2024/1/3, 61, , 13
2024/1/4, 51, , 13
2024/1/5, 61, , 13
2024/1/6, 71, , 12
2024/1/7, 60, , 8
2024/1/8, 53, , 9
2024/1/9, 57, , 14
2024/1/10, 66, , 10
2024/1/11, 72, , 12
2024/1/12, 75, , 14
2024/1/13, 76, , 
2024/1/17, 74, , 11
2024/1/18, 79, , 14
2024/1/19, 75, , 14
2024/1/20, 82, , 14
2024/1/21, 83, , 10
2024/1/22, 78, , 13
2024/1/23, 67, , 15
2024/1/24, 71, , 18
2024/1/25, 87, , 18
2024/1/26, 101, , 18
2024/1/27, 119, , 16
2024/1/28, 121, , 12
2024/1/29, 122, , 15
2024/1/30, 102, , 13
2024/1/31, 91, , 
2024/2/1, 83, , 6
2024/2/2, 84, , 5
2024/2/3, 102, , 4
2024/2/4, 77, , 3
2024/2/5, 63, , 4
2024/2/6, 89, , 6
2024/2/7, 77, , 3
2024/2/8, 65, , 2
2024/2/9, 46, , 7
2024/2/10, 49, , 4
2024/2/11, 59, , 4
2024/2/12, 59, , 8
2024/2/13, 71, , 7
2024/2/14, 87, , 7
2024/2/15, 82, , 8
2024/2/16, 74, , 8
2024/2/17, 73, , 7
2024/2/18, 68, , 5
2024/2/19, 64, , 6
2024/2/20, 68, , 9
2024/2/21, 88, , 9
2024/2/22, 104, , 11
2024/2/23, 67, , 13
2024/2/24, 58, , 15
2024/2/25, 63, , 9
2024/2/26, 72, , 22
2024/2/27, 85, , 20
2024/2/28, 103, , 18
2024/2/29, 105, , 21
2024/3/1, 123, , 18
2024/3/2, 122, , 18
2024/3/3, 115, , 12
2024/3/4, 97, , 16
2024/3/5, 97, , 16
2024/3/6, 124, , 21
2024/3/7, 127, , 18
2024/3/8, 125, , 16
2024/3/9, 109, , 22
2024/3/10, 103, , 13
2024/3/11, 91, , 21
2024/3/12, 89, , 13
2024/3/13, 91, , 20
2024/3/14, 83, , 17
2024/3/15, 85, , 17
2024/3/16, 82, , 16
2024/3/17, 103, , 12
2024/3/18, 94, , 17
2024/3/19, 94, , 24
2024/3/20, 80, , 23
2024/3/21, 98, , 19
2024/3/22, 94, , 19
2024/3/23, 89, , 17
2024/3/24, 102, , 14
2024/3/25, 105, , 12
2024/3/26, 88, , 14
2024/3/27, 81, , 14
2024/3/28, 95, , 12
2024/3/29, 95, , 7
2024/3/30, 85, , 10
2024/3/31, 92, , 17
2024/4/1, 96, , 19
2023/10/2, 53, , 14
2023/10/3, 44, , 21
2023/10/4, 65, , 18
2023/10/5, 63, , 26
2023/10/6, 75, , 22
2023/10/7, 81, , 22
2023/10/8, 65, , 14
2023/10/9, 60, , 20
2023/10/10, 73, , 20
2023/10/11, 73, , 19
