date, pm25, pm10, no2
2022/3/25, 138, , 21
2022/3/26, 126, , 16
2022/3/27, 138, , 11
2022/3/28, 102, , 13
2022/3/29, 95, , 15
2022/3/30, 81, , 17
2022/3/31, 82, , 19
2022/4/1, 94, , 14
2021/10/2, 67, , 17
2021/10/3, 82, , 17
2021/10/4, 73, , 16
2021/10/5, 72, , 17
2021/10/6, 67, , 15
2021/10/7, 61, , 17
2021/10/8, 69, , 16
2021/10/9, 70, , 15
2021/10/10, 63, , 13
2021/10/11, 71, , 15
2021/10/12, 70, , 17
2021/10/13, 67, , 17
2021/10/14, 73, , 16
2021/10/15, 83, , 17
2021/10/16, 77, , 19
2021/10/17, 91, , 13
2021/10/18, 65, , 9
2021/10/19, 59, , 15
2021/10/20, 58, , 15
2021/10/21, 59, , 18
2021/10/22, 67, , 24
2021/10/23, 81, , 24
2021/10/24, 98, , 13
2021/10/25, 80, , 16
2021/10/26, 72, , 19
2021/10/27, 71, , 23
2021/10/28, 63, , 24
2021/10/29, 100, , 22
2021/10/30, 100, , 17
2021/10/31, 77, , 11
2021/11/1, 51, , 10
2021/11/2, 62, , 18
2021/11/3, 57, , 15
2021/11/4, 69, , 16
2021/11/5, 69, , 12
2021/11/6, 71, , 14
2021/11/7, 62, , 10
2021/11/8, 68, , 15
2021/11/9, 66, , 18
2021/11/10, 68, , 20
2021/11/11, 85, , 17
2021/11/12, 77, , 16
2021/11/13, 77, , 17
2021/11/14, 68, , 15
2021/11/15, 69, , 14
2021/11/16, 81, , 20
2021/11/17, 89, , 14
2021/11/18, 78, , 15
2021/11/19, 66, , 16
2021/11/20, 66, , 19
2021/11/21, 64, , 16
2021/11/22, 72, , 21
2021/11/23, 83, , 23
2021/11/24, 89, , 22
2021/11/25, 84, , 17
2021/11/26, 70, , 22
2021/11/27, 77, , 18
2021/11/28, 71, , 11
2021/11/29, 67, , 13
2021/11/30, 57, , 16
2021/12/1, 70, , 17
2021/12/2, 74, , 13
2021/12/3, 64, , 15
2021/12/4, 60, , 16
2021/12/5, 69, , 11
2021/12/6, 65, , 15
2021/12/7, 63, , 14
2021/12/8, 65, , 11
2021/12/9, 79, , 15
2021/12/10, 68, , 15
2021/12/11, 71, , 15
2021/12/12, 68, , 11
2021/12/13, 76, , 13
2021/12/14, 58, , 17
2021/12/16, 79, , 14
2021/12/17, 75, , 14
2021/12/18, 70, , 22
2021/12/19, 99, , 14
2021/12/20, 128, , 14
2021/12/21, 73, , 14
2021/12/22, 80, , 13
2021/12/23, 81, , 11
2021/12/24, 69, , 11
2021/12/25, 70, , 8
2021/12/26, 79, , 8
2021/12/27, 70, , 16
2021/12/28, 74, , 13
2021/12/29, 81, , 17
2021/12/30, 78, , 14
2021/12/31, 101, , 11
2022/1/1, 82, , 9
2022/1/2, 85, , 
2021/7/2, 72, , 
2021/7/3, 65, , 
2021/7/4, 62, , 
2021/7/5, 60, , 
2021/7/6, 45, , 8
2021/7/7, 62, , 8
2021/7/8, 63, , 8
2021/7/9, 63, , 12
2021/7/10, 62, , 15
2021/7/14, 67, , 11
2021/7/15, 67, , 11
2021/7/16, 66, , 12
2021/7/17, 74, , 11
2021/7/18, 60, , 7
2021/7/19, 53, , 9
2021/7/20, 49, , 7
2021/7/21, 60, , 8
2021/7/22, 67, , 7
2021/7/23, 69, , 8
2021/7/24, 65, , 11
2021/7/25, 73, , 5
2021/7/26, 64, , 6
2021/7/27, 59, , 8
2021/7/28, 62, , 10
2021/7/29, 89, , 9
2021/7/30, 75, , 7
2021/7/31, 74, , 5
2021/8/1, 60, , 6
2021/8/2, 58, , 5
2021/8/3, 60, , 13
2021/8/4, 76, , 10
2021/8/5, 115, , 9
2021/8/6, 91, , 10
2021/8/7, 85, , 8
2021/8/8, 94, , 3
2021/8/9, 79, , 7
2021/8/10, 58, , 10
2021/8/11, 65, , 9
2021/8/12, 76, , 7
2021/8/13, 68, , 7
2021/8/14, 63, , 8
2021/8/15, 69, , 4
2021/8/16, 60, , 7
2021/8/17, 69, , 7
2021/8/18, 65, , 10
2021/8/19, 59, , 9
2021/8/20, 69, , 16
2021/8/21, 71, , 12
2021/8/22, 85, , 4
2021/8/23, 68, , 10
2021/8/24, 57, , 9
2021/8/25, 59, , 17
2021/8/26, 75, , 9
2021/8/27, 77, , 7
2021/8/28, 65, , 8
2021/8/29, 55, , 5
2021/8/30, 64, , 7
2021/8/31, 55, , 15
2021/9/2, 64, , 7
2021/9/3, 58, , 7
2021/9/4, 56, , 6
2021/9/5, 66, , 8
2021/9/6, 62, , 14
2021/9/7, 67, , 14
2021/9/8, 77, , 14
2021/9/9, 74, , 11
2021/9/10, 92, , 12
2021/9/11, 64, , 18
2021/9/12, 64, , 12
2021/9/13, 61, , 14
2021/9/14, 57, , 16
2021/9/15, 63, , 15
2021/9/16, 63, , 14
2021/9/17, 63, , 17
2021/9/18, 65, , 17
2021/9/19, 68, , 12
2021/9/20, 66, , 15
2021/9/21, 59, , 18
2021/9/22, 63, , 20
2021/9/23, 74, , 18
2021/9/24, 68, , 17
2021/9/25, 77, , 16
2021/9/26, 63, , 13
2021/9/27, 73, , 15
2021/9/28, 65, , 16
2021/9/29, 72, , 19
2021/9/30, 78, , 19
2021/10/1, 74, , 21
2021/4/2, 62, , 
2021/4/3, 64, , 2
2021/4/4, 58, , 1
2021/4/5, 58, , 4
2021/4/6, 54, , 4
2021/4/7, 63, , 2
2021/4/8, 58, , 5
2021/4/9, 58, , 1
2021/4/10, 58, , 1
2021/4/11, 53, , 
2021/4/12, 49, , 3
2021/4/13, 53, , 9
2021/4/14, 67, , 5
2021/4/15, 65, , 5
2021/4/16, 70, , 3
2021/4/17, 77, , 2
2021/4/18, 70, , 1
2021/4/19, 58, , 4
2021/4/20, 60, , 4
2021/4/21, 63, , 4
2021/4/22, 85, , 6
2021/4/23, 90, , 3
2021/4/24, 83, , 5
2021/4/25, 74, , 1
2021/4/26, 71, , 4
2021/4/27, 77, , 6
2021/4/28, 114, , 3
2021/4/29, 85, , 2
2021/4/30, 52, , 2
2021/5/1, 62, , 2
2021/5/2, 73, , 1
2021/5/3, 60, , 3
2021/5/4, 49, , 4
2021/5/5, 61, , 3
2021/5/6, 60, , 3
2021/5/7, 65, , 4
2021/5/8, 80, , 3
2021/5/9, 63, , 1
2021/5/10, 58, , 3
2021/5/11, 68, , 4
2021/5/12, 69, , 3
2021/5/13, 54, , 3
2021/5/14, 58, , 5
2021/5/15, 58, , 3
2021/5/16, 63, , 2
2021/5/17, 62, , 2
2021/5/18, 54, , 3
2021/5/19, 56, , 4
2021/5/20, 64, , 3
2021/5/21, 63, , 3
2021/5/22, 71, , 3
2021/5/23, 80, , 2
2021/5/24, 61, , 4
2021/5/25, 56, , 3
2021/5/26, 64, , 3
2021/5/27, 64, , 4
2021/5/28, 77, , 3
2021/5/29, 79, , 3
2021/5/30, 68, , 2
2021/5/31, 69, , 5
2021/6/1, 69, , 3
2021/6/2, 66, , 5
2021/6/3, 65, , 5
2021/6/4, 60, , 4
2021/6/5, 70, , 3
2021/6/6, 67, , 1
2021/6/7, 56, , 1
2021/6/8, 53, , 3
2021/6/9, 61, , 5
2021/6/10, 66, , 3
2021/6/11, 74, , 4
2021/6/12, 71, , 3
2021/6/13, 76, , 1
2021/6/14, 83, , 2
2021/6/15, 65, , 3
2021/6/16, 67, , 
2021/6/17, 73, , 
2021/6/18, 70, , 
2021/6/19, 74, , 
2021/6/20, 62, , 
2021/6/21, 63, , 
2021/6/22, 57, , 
2021/6/23, 64, , 7
2021/6/24, 70, , 5
2021/6/25, 68, , 3
2021/6/26, 68, , 3
2021/6/27, 67, , 1
2021/6/28, 85, , 4
2021/6/29, 56, , 1
2021/6/30, 68, , 
2021/7/1, 81, , 
2021/1/5, 60, , 14
2021/1/6, 59, , 14
2021/1/7, 64, , 16
2021/1/8, 76, , 13
2021/1/9, 69, , 6
2021/1/10, 63, , 5
2021/1/11, 63, , 4
2021/1/12, 47, , 9
2021/1/13, 54, , 9
2021/1/14, 60, , 9
2021/1/15, 61, , 10
2021/1/16, 68, , 7
2021/1/17, 65, , 5
2021/1/18, 66, , 10
2021/1/19, 65, , 10
2021/1/20, 74, , 6
2021/1/21, 76, , 10
2021/1/22, 77, , 13
2021/1/23, 75, , 12
2021/1/24, 76, , 7
2021/1/25, 64, , 8
2021/1/26, 56, , 14
2021/1/27, 65, , 12
2021/1/28, 87, , 11
2021/1/29, 76, , 11
2021/1/30, 76, , 10
2021/1/31, 78, , 8
2021/2/1, 80, , 13
2021/2/2, 70, , 8
2021/2/3, 61, , 3
2021/2/4, 56, , 2
2021/2/5, 61, , 5
2021/2/6, 68, , 5
2021/2/7, 71, , 2
2021/2/8, 74, , 3
2021/2/9, 67, , 7
2021/2/10, 69, , 9
2021/2/11, 70, , 8
2021/2/12, 81, , 11
2021/2/13, 72, , 7
2021/2/14, 82, , 6
2021/2/15, 88, , 11
2021/2/16, 81, , 10
2021/2/17, 87, , 9
2021/2/18, 83, , 4
2021/2/19, 75, , 6
2021/2/20, 67, , 4
2021/2/21, 77, , 2
2021/2/22, 65, , 5
2021/2/23, 69, , 6
2021/2/24, 72, , 3
2021/2/25, 71, , 4
2021/2/26, 70, , 4
2021/2/27, 65, , 4
2021/2/28, 66, , 2
2021/3/1, 64, , 6
2021/3/2, 76, , 6
2021/3/3, 72, , 3
2021/3/4, 95, , 3
2021/3/5, 95, , 5
2021/3/6, 100, , 4
2021/3/7, 118, , 2
2021/3/8, 112, , 4
2021/3/9, 77, , 
2021/3/10, 68, , 
2021/3/11, 85, , 
2021/3/12, 70, , 
2021/3/13, 58, , 
2021/3/14, 78, , 
2021/3/15, 72, , 6
2021/3/16, 78, , 5
2021/3/17, 79, , 5
2021/3/18, 84, , 6
2021/3/19, 66, , 6
2021/3/20, 67, , 4
2021/3/21, 71, , 4
2021/3/22, 76, , 4
2021/3/23, 65, , 4
2021/3/24, 60, , 6
2021/3/25, 65, , 4
2021/3/26, 85, , 8
2021/3/27, 80, , 
2021/3/28, 74, , 
2021/3/29, 57, , 3
2021/3/30, 60, , 2
2021/3/31, 62, , 3
2021/4/1, 64, , 1
2020/10/2, 65, , 16
2020/10/3, 69, , 23
2020/10/4, 100, , 11
2020/10/5, 78, , 14
2020/10/6, 61, , 23
2020/10/7, 74, , 17
2020/10/8, 81, , 15
2020/10/9, 73, , 16
2020/10/10, 66, , 11
2020/10/11, 67, , 10
2020/10/12, 64, , 12
2020/10/13, 69, , 16
2020/10/14, 62, , 15
2020/10/15, 80, , 16
2020/10/16, 69, , 13
2020/10/17, 67, , 17
2020/10/18, 76, , 12
2020/10/19, 83, , 14
2020/10/20, 72, , 12
2020/10/21, 74, , 16
2020/10/22, 69, , 18
2020/10/23, 78, , 19
2020/10/24, 69, , 20
2020/10/25, 74, , 11
2020/10/26, 69, , 18
2020/10/27, 82, , 17
2020/10/28, 71, , 14
2020/10/29, 74, , 16
2020/10/30, 80, , 18
2020/10/31, 88, , 13
2020/11/1, 72, , 6
2020/11/2, 50, , 6
2020/11/3, 49, , 14
2020/11/4, 52, , 15
2020/11/5, 60, , 14
2020/11/6, 60, , 17
2020/11/7, 67, , 16
2020/11/8, 72, , 13
2020/11/9, 67, , 17
2020/11/10, 78, , 15
2020/11/11, 77, , 17
2020/11/12, 70, , 21
2020/11/13, 87, , 12
2020/11/14, 73, , 10
2020/11/15, 55, , 7
2020/11/16, 54, , 12
2020/11/17, 56, , 19
2020/11/18, 68, , 16
2020/11/19, 67, , 11
2020/11/20, 45, , 14
2020/11/21, 55, , 11
2020/11/22, 65, , 10
2020/11/23, 62, , 11
2020/11/24, 58, , 15
2020/11/25, 63, , 14
2020/11/26, 67, , 15
2020/11/27, 58, , 14
2020/11/28, 72, , 19
2020/11/29, 66, , 16
2020/11/30, 77, , 16
2020/12/1, 65, , 16
2020/12/2, 93, , 16
2020/12/3, 81, , 14
2020/12/4, 67, , 13
2020/12/5, 57, , 13
2020/12/6, 62, , 10
2020/12/7, 57, , 15
2020/12/8, 67, , 11
2020/12/9, 76, , 16
2020/12/10, 65, , 14
2020/12/11, 72, , 12
2020/12/12, 67, , 13
2020/12/13, 66, , 11
2020/12/14, 77, , 14
2020/12/15, 83, , 18
2020/12/16, 74, , 13
2020/12/17, 75, , 15
2020/12/18, 73, , 17
2020/12/19, 75, , 17
2020/12/20, 85, , 12
2020/12/21, 82, , 13
2020/12/22, 71, , 13
2020/12/23, 65, , 14
2020/12/24, 74, , 14
2020/12/25, 74, , 8
2020/12/26, 78, , 11
2020/12/27, 54, , 8
2020/12/28, 67, , 15
2020/12/29, 56, , 14
2020/12/30, 58, , 15
2020/12/31, 64, , 11
2021/1/1, 71, , 7
2021/1/2, 74, , 6
2021/1/3, 74, , 9
2021/1/4, 74, , 10
2020/7/2, 65, , 
2020/7/3, 60, , 
2020/7/4, 62, , 15
2020/7/5, 61, , 11
2020/7/6, 58, , 14
2020/7/7, 60, , 14
2020/7/8, 69, , 14
2020/7/9, 58, , 14
2020/7/10, 53, , 14
2020/7/11, 54, , 17
2020/7/12, 62, , 10
2020/7/13, 66, , 12
2020/7/14, 52, , 14
2020/7/15, 52, , 16
2020/7/16, 63, , 15
2020/7/17, 71, , 10
2020/7/18, 72, , 8
2020/7/19, 59, , 5
2020/7/20, 55, , 5
2020/7/21, 47, , 11
2020/7/22, 61, , 15
2020/7/23, 61, , 16
2020/7/24, 61, , 13
2020/7/25, 57, , 
2020/7/28, 42, , 13
2020/7/29, 54, , 11
2020/7/30, 54, , 13
2020/7/31, 66, , 14
2020/8/1, 89, , 9
2020/8/2, 67, , 8
2020/8/3, 62, , 15
2020/8/4, 64, , 11
2020/8/5, 73, , 16
2020/8/6, 75, , 14
2020/8/7, 95, , 8
2020/8/8, 75, , 8
2020/8/9, 60, , 6
2020/8/10, 63, , 11
2020/8/11, 71, , 16
2020/8/12, 84, , 11
2020/8/13, 71, , 13
2020/8/14, 63, , 13
2020/8/15, 72, , 10
2020/8/16, 67, , 5
2020/8/17, 55, , 7
2020/8/18, 49, , 11
2020/8/19, 62, , 10
2020/8/20, 64, , 12
2020/8/21, 53, , 11
2020/8/22, 52, , 13
2020/8/23, 54, , 10
2020/8/24, 66, , 15
2020/8/25, 64, , 14
2020/8/26, 68, , 14
2020/8/27, 68, , 11
2020/8/28, 59, , 11
2020/8/30, 62, , 6
2020/8/31, 57, , 18
2020/9/1, 64, , 21
2020/9/2, 88, , 15
2020/9/3, 71, , 20
2020/9/4, 83, , 19
2020/9/5, 102, , 11
2020/9/6, 61, , 8
2020/9/7, 55, , 11
2020/9/8, 61, , 17
2020/9/9, 64, , 17
2020/9/10, 71, , 16
2020/9/11, 84, , 15
2020/9/12, 64, , 13
2020/9/13, 69, , 7
2020/9/14, 61, , 11
2020/9/15, 67, , 14
2020/9/16, 84, , 15
2020/9/17, 71, , 15
2020/9/18, 84, , 19
2020/9/19, 84, , 16
2020/9/20, 88, , 12
2020/9/21, 79, , 19
2020/9/22, 80, , 16
2020/9/23, 89, , 14
2020/9/24, 71, , 12
2020/9/25, 75, , 14
2020/9/26, 71, , 13
2020/9/27, 66, , 9
2020/9/28, 65, , 12
2020/9/29, 64, , 18
2020/9/30, 72, , 16
2020/10/1, 80, , 14
2020/4/2, 62, , 2
2020/4/3, 38, , 3
2020/4/4, 54, , 2
2020/4/5, 67, , 1
2020/4/6, 56, , 2
2020/4/7, 51, , 3
2020/4/8, 35, , 3
2020/4/9, 47, , 3
2020/4/10, 44, , 2
2020/4/11, 46, , 4
2020/4/12, 42, , 3
2020/4/13, 39, , 5
2020/4/14, 42, , 5
2020/4/15, 53, , 6
2020/4/16, 62, , 4
2020/4/17, 74, , 8
2020/4/18, 98, , 7
2020/4/19, 104, , 3
2020/4/20, 70, , 6
2020/4/21, 64, , 6
2020/4/22, 59, , 8
2020/4/23, 54, , 9
2020/4/24, 53, , 7
2020/4/25, 51, , 6
2020/4/26, 60, , 4
2020/4/27, 66, , 8
2020/4/28, 68, , 5
2020/4/29, 67, , 7
2020/4/30, 63, , 10
2020/5/1, 68, , 8
2020/5/2, 67, , 5
2020/5/3, 65, , 3
2020/5/4, 56, , 5
2020/5/5, 55, , 7
2020/5/6, 54, , 6
2020/5/7, 54, , 7
2020/5/8, 51, , 6
2020/5/9, 52, , 5
2020/5/10, 58, , 3
2020/5/11, 42, , 8
2020/5/12, 57, , 12
2020/5/13, 62, , 13
2020/5/14, 61, , 13
2020/5/15, 62, , 24
2020/5/16, 66, , 16
2020/5/17, 61, , 6
2020/5/18, 53, , 16
2020/5/19, 44, , 19
2020/5/20, 61, , 16
2020/5/21, 75, , 13
2020/5/22, 67, , 21
2020/5/23, 71, , 16
2020/5/24, 90, , 12
2020/5/25, 70, , 10
2020/5/26, 59, , 10
2020/5/27, 53, , 15
2020/5/28, 53, , 14
2020/5/29, 64, , 19
2020/5/30, 60, , 20
2020/5/31, 71, , 10
2020/6/1, 58, , 11
2020/6/2, 51, , 8
2020/6/3, 67, , 11
2020/6/4, 64, , 13
2020/6/5, 72, , 12
2020/6/6, 65, , 12
2020/6/7, 64, , 11
2020/6/8, 70, , 10
2020/6/9, 55, , 13
2020/6/10, 61, , 11
2020/6/11, 65, , 15
2020/6/12, 67, , 16
2020/6/13, 76, , 11
2020/6/14, 61, , 6
2020/6/15, 47, , 8
2020/6/16, 41, , 11
2020/6/17, 67, , 14
2020/6/18, 62, , 14
2020/6/19, 67, , 13
2020/6/20, 76, , 11
2020/6/21, 66, , 6
2020/6/22, 59, , 6
2020/6/23, 42, , 10
2020/6/24, 57, , 11
2020/6/25, 63, , 14
2020/6/26, 45, , 13
2020/6/29, 53, , 9
2020/6/30, 50, , 16
2020/7/1, 65, , 17
2020/1/2, 109, , 10
2020/1/3, 61, , 15
2020/1/4, 58, , 15
2020/1/5, 66, , 11
2020/1/6, 65, , 10
2020/1/7, 61, , 17
2020/1/8, 65, , 15
2020/1/9, 70, , 14
2020/1/10, 73, , 15
2020/1/11, 73, , 15
2020/1/12, 83, , 13
2020/1/13, 82, , 16
2020/1/14, 72, , 14
2020/1/15, 69, , 18
2020/1/16, 75, , 12
2020/1/17, 73, , 16
2020/1/18, 72, , 15
2020/1/19, 67, , 13
2020/1/20, 65, , 21
2020/1/21, 64, , 17
2020/1/22, 85, , 14
2020/1/23, 66, , 16
2020/1/24, 69, , 15
2020/1/25, 72, , 12
2020/1/26, 61, , 11
2020/1/27, 53, , 12
2020/1/28, 68, , 5
2020/1/29, 75, , 7
2020/1/30, 81, , 7
2020/1/31, 84, , 5
2020/2/1, 101, , 6
2020/2/2, 82, , 9
2020/2/3, 72, , 8
2020/2/4, 73, , 6
2020/2/5, 78, , 9
2020/2/6, 91, , 8
2020/2/7, 101, , 9
2020/2/8, 114, , 8
2020/2/9, 132, , 7
2020/2/10, 123, , 8
2020/2/11, 106, , 13
2020/2/12, 111, , 23
2020/2/13, 112, , 22
2020/2/14, 113, , 19
2020/2/15, 118, , 20
2020/2/16, 102, , 15
2020/2/17, 82, , 16
2020/2/18, 69, , 18
2020/2/19, 72, , 23
2020/2/20, 83, , 22
2020/2/21, 87, , 24
2020/2/22, 116, , 27
2020/2/23, 102, , 17
2020/2/24, 88, , 19
2020/2/25, 85, , 20
2020/2/26, 86, , 16
2020/2/27, 91, , 17
2020/2/28, 115, , 17
2020/2/29, 122, , 15
2020/3/1, 122, , 12
2020/3/2, 110, , 20
2020/3/3, 104, , 17
2020/3/4, 107, , 18
2020/3/5, 118, , 18
2020/3/6, 116, , 17
2020/3/7, 134, , 23
2020/3/8, 155, , 17
2020/3/9, 146, , 23
2020/3/10, 141, , 24
2020/3/11, 140, , 24
2020/3/12, 129, , 23
2020/3/13, 129, , 29
2020/3/14, 132, , 27
2020/3/15, 114, , 20
2020/3/16, 144, , 26
2020/3/17, 125, , 30
2020/3/18, 153, , 33
2020/3/19, 153, , 26
2020/3/20, 156, , 26
2020/3/21, 154, , 10
2020/3/22, 114, , 
2020/3/23, 97, , 
2020/3/24, 118, , 24
2020/3/25, 143, , 17
2020/3/26, 142, , 8
2020/3/27, 152, , 3
2020/3/28, 149, , 2
2020/3/29, 133, , 2
2020/3/30, 138, , 5
2020/3/31, 131, , 4
2020/4/1, 105, , 6
2019/10/2, 62, , 
2019/10/3, 61, , 
2019/10/4, 59, , 
2019/10/5, 76, , 
2019/10/6, 69, , 
2019/10/7, 74, , 
2019/10/8, 61, , 
2019/10/9, 57, , 
2019/10/10, 73, , 
2019/10/11, 70, , 
2019/10/12, 78, , 
2019/10/13, 81, , 
2019/10/14, 76, , 
2019/10/15, 59, , 
2019/10/16, 54, , 
2019/10/17, 59, , 
2019/10/18, 63, , 
2019/10/19, 79, , 
2019/10/20, 67, , 
2019/10/21, 64, , 
2019/10/22, 58, , 
2019/10/23, 79, , 
2019/10/24, 68, , 
2019/10/25, 76, , 
2019/10/26, 88, , 
2019/10/27, 89, , 
2019/10/28, 60, , 
2019/10/29, 62, , 
2019/10/30, 72, , 
2019/10/31, 73, , 
2019/11/1, 63, , 
2019/11/2, 72, , 
2019/11/3, 83, , 
2019/11/4, 64, , 
2019/11/5, 74, , 
2019/11/6, 68, , 
2019/11/7, 82, , 
2019/11/8, 65, , 
2019/11/9, 75, , 
2019/11/10, 86, , 
2019/11/11, 87, , 
2019/11/12, 63, , 
2019/11/13, 54, , 
2019/11/14, 70, , 
2019/11/15, 90, , 
2019/11/16, 100, , 
2019/11/17, 67, , 
2019/11/18, 70, , 
2019/11/19, 58, , 
2019/11/20, 72, , 
2019/11/21, 87, , 
2019/11/22, 82, , 
2019/11/23, 76, , 
2019/11/24, 114, , 
2019/11/25, 90, , 
2019/11/26, 72, , 
2019/11/27, 69, , 
2019/11/28, 67, , 
2019/11/29, 70, , 
2019/11/30, 74, , 
2019/12/1, 78, , 
2019/12/2, 71, , 
2019/12/3, 67, , 
2019/12/4, 83, , 
2019/12/5, 85, , 
2019/12/6, 76, , 
2019/12/7, 68, , 
2019/12/8, 72, , 
2019/12/9, 90, , 20
2019/12/10, 66, , 22
2019/12/11, 69, , 22
2019/12/12, 83, , 18
2019/12/13, 86, , 21
2019/12/14, 73, , 21
2019/12/15, 74, , 15
2019/12/16, 66, , 18
2019/12/17, 61, , 20
2019/12/18, 83, , 18
2019/12/19, 89, , 15
2019/12/20, 70, , 16
2019/12/21, 62, , 16
2019/12/22, 68, , 15
2019/12/23, 71, , 16
2019/12/24, 65, , 16
2019/12/25, 64, , 12
2019/12/26, 73, , 15
2019/12/27, 60, , 18
2019/12/28, 59, , 13
2019/12/29, 69, , 13
2019/12/30, 73, , 
2019/8/24, 87, , 
2019/8/25, 80, , 
2019/8/26, 68, , 
2019/8/27, 66, , 
2019/8/28, 74, , 
2019/8/29, 85, , 
2019/8/30, 103, , 
2019/8/31, 86, , 
2019/9/1, 81, , 
2019/9/2, 67, , 
2019/9/3, 59, , 
2019/9/4, 63, , 
2019/9/5, 65, , 
2019/9/6, 65, , 
2019/9/7, 69, , 
2019/9/8, 102, , 
2019/9/9, 79, , 
2019/9/10, 68, , 
2019/9/11, 76, , 
2019/9/12, 74, , 
2019/9/13, 73, , 
2019/9/14, 67, , 
2019/9/15, 68, , 
2019/9/16, 68, , 
2019/9/17, 68, , 
2019/9/18, 61, , 
2019/9/19, 66, , 
2019/9/20, 61, , 
2019/9/21, 61, , 
2019/9/22, 65, , 
2019/9/23, 70, , 
2019/9/24, 60, , 
2019/9/25, 78, , 
2019/9/26, 97, , 
2019/9/27, 70, , 
2019/9/28, 71, , 
2019/9/29, 66, , 
2019/9/30, 62, , 
2019/10/1, 60, , 
2019/1/2, 109, 24, 
2019/1/3, 58, 29, 
2019/1/4, 72, 32, 
2019/1/5, 71, 41, 
2019/1/6, 86, 31, 
2019/1/7, 79, 24, 
2019/1/8, 77, 34, 
2019/1/9, 71, 24, 
2019/1/10, 65, 30, 
2019/1/11, 77, 30, 
2019/1/12, 64, , 
2019/1/14, 63, 37, 
2019/1/15, 54, 40, 
2019/1/16, 9, 35, 
2019/1/19, 71, 29, 
2019/1/20, 68, 25, 
2019/1/21, 76, , 
2019/1/23, 65, 32, 
2019/1/24, 70, , 
2019/1/26, 72, 32, 
2019/1/27, 73, 31, 
2019/1/28, 75, 40, 
2019/1/29, 81, 40, 
2019/1/30, 76, 40, 
2019/1/31, 72, 42, 
2019/2/1, 77, 43, 
2019/2/2, 85, 41, 
2019/2/3, 86, 28, 
2019/2/4, 66, 46, 
2019/2/5, 85, 47, 
2019/2/6, 94, 50, 
2019/2/7, 92, 53, 
2019/2/8, 110, 54, 
2019/2/9, 113, 48, 
2019/2/10, 94, 38, 
2019/2/11, 85, 42, 
2019/2/12, 89, 53, 
2019/2/13, 118, 49, 
2019/2/14, 103, 45, 
2019/2/15, 85, 46, 
2019/2/16, 95, 50, 
2019/2/18, 96, 48, 
2019/2/19, 105, , 
2019/2/20, 112, , 
2019/2/21, 86, 36, 
2019/2/22, 86, 35, 
2019/2/23, 83, 30, 
2019/2/24, 75, 32, 
2019/2/25, 87, 42, 
2019/2/26, 98, 56, 
2019/2/27, 137, 44, 
2019/2/28, 111, 42, 
2019/3/1, 103, 50, 
2019/3/2, 115, , 
2019/3/5, 96, , 
2019/3/7, 104, 52, 
2019/3/8, 103, 47, 
2019/3/9, 95, 35, 
2019/3/10, 89, 33, 
2019/3/11, 77, , 
2019/3/13, 104, 40, 
2019/3/14, 108, 53, 
2019/3/15, 120, , 
2019/3/19, 104, 34, 
2019/3/20, 76, 39, 
2019/3/21, 75, 39, 
2019/3/22, 80, 45, 
2019/3/23, 102, 41, 
2019/3/24, 93, 33, 
2019/3/25, 81, 31, 
2019/3/26, 75, , 
2018/10/2, 63, 29, 
2018/10/3, 61, 32, 
2018/10/4, 84, 42, 
2018/10/5, 91, 30, 
2018/10/6, 80, 22, 
2018/10/7, 59, , 
2018/10/9, 60, 43, 
2018/10/10, 102, 39, 
2018/10/11, 100, 18, 
2018/10/12, 54, , 
2018/10/16, 49, 28, 
2018/10/17, 71, 33, 
2018/10/18, 78, 39, 
2018/10/19, 82, , 
2018/10/22, 59, 29, 
2018/10/23, 56, 31, 
2018/10/24, 68, 30, 
2018/10/25, 69, 30, 
2018/10/26, 66, , 
2018/10/29, 55, 29, 
2018/10/30, 69, 35, 
2018/10/31, 79, 38, 
2018/11/1, 83, 38, 
2018/11/2, 79, , 
2018/11/6, 46, 30, 
2018/11/7, 68, 28, 
2018/11/8, 55, 36, 
2018/11/9, 73, 34, 
2018/11/10, 68, , 
2018/11/13, 68, 37, 
2018/11/14, 83, 33, 
2018/11/15, 81, 37, 
2018/11/16, 102, 32, 
2018/11/18, 72, 23, 
2018/11/19, 60, 31, 
2018/11/20, 74, 32, 
2018/11/21, 81, 34, 
2018/11/22, 85, 40, 
2018/11/23, 95, , 
2018/11/26, 59, 33, 
2018/11/27, 86, 25, 
2018/11/28, 60, 33, 
2018/11/29, 79, 38, 
2018/11/30, 90, , 
2018/12/3, 57, 30, 
2018/12/4, 65, 39, 
2018/12/5, 75, 34, 
2018/12/6, 61, 36, 
2018/12/7, 71, 37, 
2018/12/8, 91, , 
2018/12/10, 68, 36, 
2018/12/11, 80, 37, 
2018/12/12, 76, 32, 
2018/12/13, 65, 39, 
2018/12/14, 79, 42, 
2018/12/15, 78, , 
2018/12/17, 69, , 
2018/12/24, 72, 25, 
2018/12/25, 67, 20, 
2018/12/26, 76, 31, 
2018/12/27, 75, 36, 
2018/12/28, 75, 33, 
2018/12/29, 80, 32, 
2018/12/30, 91, 27, 
2018/12/31, 89, , 
2018/7/2, 86, 14, 
2018/7/3, 50, 22, 
2018/7/4, 58, 26, 
2018/7/5, 53, 21, 
2018/7/6, 59, , 
2018/7/7, 59, , 
2018/7/8, 59, , 
