date, pm25
2024/3/18, 95
2024/3/19, 86
2024/3/20, 75
2024/3/21, 91
2024/3/22, 92
2024/3/23, 90
2024/3/24, 97
2024/3/25, 103
2024/3/26, 85
2024/3/27, 68
2024/3/28, 86
2024/3/29, 87
2024/3/30, 84
2024/3/31, 89
2024/4/1, 93
2023/10/2, 55
2023/10/3, 50
2023/10/4, 57
2023/10/5, 51
2023/10/6, 57
2023/10/7, 74
2023/10/8, 65
2023/10/9, 54
2023/10/10, 61
2023/10/11, 65
2023/10/12, 62
2023/10/13, 65
2023/10/14, 70
2023/10/15, 72
2023/10/16, 68
2023/10/17, 56
2023/10/18, 60
2023/10/19, 68
2023/10/20, 71
2023/10/21, 75
2023/10/26, 70
2023/10/27, 72
2023/10/28, 48
2023/10/29, 20
2023/10/30, 20
2023/10/31, 44
2023/11/1, 44
2023/11/2, 52
2023/11/3, 48
2023/11/4, 41
2023/11/5, 51
2023/11/6, 58
2023/11/7, 53
2023/11/8, 52
2023/11/9, 62
2023/11/10, 68
2023/11/11, 73
2023/11/12, 65
2023/11/13, 61
2023/11/14, 57
2023/11/15, 57
2023/11/16, 54
2023/11/17, 48
2023/11/18, 64
2023/11/19, 53
2023/11/20, 42
2023/11/21, 42
2023/11/22, 52
2023/11/23, 59
2023/11/24, 61
2023/11/25, 58
2023/11/26, 54
2023/11/27, 55
2023/11/28, 53
2023/11/29, 55
2023/11/30, 57
2023/12/1, 58
2023/12/2, 79
2023/12/3, 71
2023/12/4, 63
2023/12/5, 60
2023/12/6, 67
2023/12/7, 68
2023/12/8, 80
2023/12/9, 85
2023/12/10, 69
2023/12/11, 60
2023/12/12, 58
2023/12/13, 57
2023/12/14, 67
2023/12/15, 76
2023/12/16, 70
2023/12/17, 57
2023/12/18, 45
2023/12/19, 52
2023/12/20, 55
2023/12/21, 55
2023/12/22, 60
2023/12/23, 64
2023/12/24, 71
2023/12/25, 71
2023/12/26, 77
2023/12/27, 60
2023/12/28, 54
2023/12/29, 65
2023/12/30, 50
2023/12/31, 48
2024/1/1, 51
2023/7/2, 55
2023/7/3, 54
2023/7/4, 47
2023/7/5, 52
2023/7/6, 56
2023/7/7, 57
2023/7/8, 58
2023/7/9, 58
2023/7/10, 54
2023/7/11, 53
2023/7/12, 56
2023/7/13, 58
2023/7/14, 59
2023/7/15, 60
2023/7/16, 61
2023/7/17, 51
2023/7/18, 53
2023/7/19, 57
2023/7/20, 53
2023/7/21, 46
2023/7/22, 51
2023/7/23, 55
2023/7/24, 55
2023/7/25, 57
2023/7/26, 62
2023/7/27, 66
2023/7/28, 79
2023/7/29, 69
2023/7/30, 57
2023/7/31, 43
2023/8/1, 47
2023/8/2, 58
2023/8/3, 60
2023/8/4, 60
2023/8/5, 66
2023/8/6, 65
2023/8/7, 58
2023/8/8, 55
2023/8/9, 57
2023/8/10, 82
2023/8/11, 77
2023/8/12, 60
2023/8/13, 60
2023/8/14, 48
2023/8/15, 50
2023/8/16, 53
2023/8/17, 66
2023/8/18, 66
2023/8/19, 60
2023/8/20, 73
2023/8/21, 59
2023/8/22, 46
2023/8/23, 35
2023/8/24, 52
2023/8/25, 60
2023/8/26, 58
2023/8/27, 59
2023/8/28, 62
2023/8/29, 61
2023/8/30, 60
2023/8/31, 62
2023/9/1, 62
2023/9/2, 69
2023/9/3, 70
2023/9/4, 67
2023/9/5, 60
2023/9/6, 58
2023/9/7, 56
2023/9/8, 63
2023/9/9, 68
2023/9/10, 71
2023/9/11, 60
2023/9/12, 47
2023/9/13, 52
2023/9/14, 57
2023/9/15, 60
2023/9/16, 61
2023/9/17, 65
2023/9/18, 60
2023/9/19, 62
2023/9/20, 65
2023/9/21, 60
2023/9/22, 65
2023/9/23, 68
2023/9/24, 62
2023/9/25, 61
2023/9/26, 65
2023/9/27, 69
2023/9/28, 66
2023/9/29, 62
2023/9/30, 64
2023/10/1, 67
2023/4/2, 85
2023/4/3, 72
2023/4/4, 61
2023/4/5, 66
2023/4/6, 76
2023/4/7, 71
2023/4/8, 41
2023/4/9, 46
2023/4/10, 55
2023/4/11, 58
2023/4/12, 61
2023/4/13, 68
2023/4/14, 72
2023/4/15, 71
2023/4/16, 80
2023/4/17, 68
2023/4/18, 57
2023/4/19, 64
2023/4/20, 67
2023/4/21, 63
2023/4/22, 52
2023/4/23, 48
2023/4/24, 48
2023/4/25, 43
2023/4/26, 54
2023/4/27, 57
2023/4/28, 67
2023/4/29, 59
2023/4/30, 50
2023/5/1, 54
2023/5/2, 55
2023/5/3, 54
2023/5/4, 59
2023/5/5, 62
2023/5/6, 59
2023/5/10, 66
2023/5/11, 65
2023/5/12, 70
2023/5/13, 75
2023/5/14, 72
2023/5/15, 61
2023/5/16, 56
2023/5/17, 69
2023/5/18, 68
2023/5/19, 68
2023/5/20, 63
2023/5/21, 58
2023/5/22, 41
2023/5/23, 49
2023/5/24, 48
2023/5/25, 55
2023/5/26, 65
2023/5/27, 55
2023/5/28, 85
2023/5/29, 58
2023/5/30, 52
2023/5/31, 47
2023/6/1, 54
2023/6/2, 58
2023/6/3, 58
2023/6/4, 53
2023/6/5, 62
2023/6/6, 58
2023/6/7, 59
2023/6/8, 64
2023/6/9, 63
2023/6/10, 64
2023/6/11, 55
2023/6/12, 46
2023/6/13, 44
2023/6/14, 57
2023/6/15, 59
2023/6/16, 56
2023/6/17, 59
2023/6/18, 61
2023/6/19, 47
2023/6/20, 33
2023/6/21, 48
2023/6/22, 57
2023/6/23, 62
2023/6/24, 57
2023/6/25, 55
2023/6/27, 60
2023/6/28, 59
2023/6/29, 53
2023/6/30, 58
2023/7/1, 52
2023/1/3, 66
2023/1/4, 52
2023/1/5, 54
2023/1/6, 57
2023/1/7, 58
2023/1/8, 62
2023/1/9, 53
2023/1/10, 56
2023/1/11, 54
2023/1/12, 55
2023/1/13, 58
2023/1/14, 56
2023/1/15, 64
2023/1/16, 58
2023/1/17, 57
2023/1/18, 63
2023/1/19, 63
2023/1/20, 71
2023/1/21, 70
2023/1/22, 71
2023/1/23, 69
2023/1/24, 66
2023/1/25, 58
2023/1/26, 66
2023/1/27, 68
2023/1/28, 68
2023/1/29, 67
2023/1/30, 68
2023/1/31, 81
2023/2/1, 79
2023/2/2, 83
2023/2/3, 83
2023/2/4, 85
2023/2/5, 91
2023/2/6, 86
2023/2/7, 80
2023/2/8, 77
2023/2/9, 71
2023/2/10, 67
2023/2/11, 71
2023/2/12, 75
2023/2/13, 71
2023/2/14, 75
2023/2/15, 65
2023/2/16, 62
2023/2/17, 60
2023/2/18, 61
2023/2/19, 59
2023/2/20, 59
2023/2/21, 70
2023/2/22, 85
2023/2/23, 80
2023/2/24, 85
2023/2/25, 104
2023/2/26, 106
2023/2/27, 97
2023/2/28, 102
2023/3/1, 91
2023/3/2, 80
2023/3/3, 81
2023/3/4, 89
2023/3/5, 77
