date, pm25, pm10
2016/12/6, 65, 
2016/12/7, 80, 
2016/12/12, 55, 
2016/12/14, 79, 
2016/12/15, 60, 
2016/12/16, 63, 
2016/12/17, 58, 
2016/12/18, 64, 
2016/12/19, 64, 
2016/12/20, 56, 
2016/12/21, 73, 
2016/12/22, 69, 
2016/12/23, 66, 
2016/12/24, 61, 
2016/12/26, 83, 
2016/12/27, 75, 
2016/12/28, 55, 
2016/12/29, 59, 
2016/12/30, 71, 
2016/12/31, 71, 
2017/1/2, 85, 
2017/11/26, , 21
2017/11/27, , 36
2015/6/2, , 42
2015/6/3, , 50
2015/6/5, , 45
