date, pm25
2024/3/18, 91
2024/3/19, 89
2024/3/20, 78
2024/3/21, 90
2024/3/22, 92
2024/3/23, 88
2024/3/24, 99
2024/3/25, 103
2024/3/26, 90
2024/3/27, 77
2024/3/28, 93
2024/3/29, 96
2024/3/30, 88
2024/3/31, 88
2024/4/1, 98
2023/10/2, 64
2023/10/3, 56
2023/10/4, 67
2023/10/5, 59
2023/10/6, 68
2023/10/7, 72
2023/10/8, 72
2023/10/9, 62
2023/10/10, 68
2023/10/11, 75
2023/10/12, 69
2023/10/13, 70
2023/10/14, 73
2023/10/15, 82
2023/10/16, 77
2023/10/17, 64
2023/10/18, 60
2023/10/19, 75
2023/10/20, 77
2023/10/21, 89
2023/10/22, 68
2023/10/23, 80
2023/10/24, 75
2023/10/25, 68
2023/10/26, 79
2023/10/27, 79
2023/10/28, 63
2023/10/29, 42
2023/10/30, 43
2023/10/31, 57
2023/11/1, 60
2023/11/2, 52
2023/11/3, 62
2023/11/4, 59
2023/11/5, 64
2023/11/6, 71
2023/11/7, 67
2023/11/8, 72
2023/11/9, 68
2023/11/10, 80
2023/11/11, 96
2023/11/12, 68
2023/11/13, 70
2023/11/14, 65
2023/11/15, 65
2023/11/16, 64
2023/11/17, 55
2023/11/18, 70
2023/11/19, 67
2023/11/20, 53
2023/11/21, 54
2023/11/22, 68
2023/11/23, 71
2023/11/24, 65
2023/11/25, 61
2023/11/26, 50
2023/11/27, 48
2023/11/30, 47
2023/12/1, 52
2023/12/2, 57
2023/12/3, 55
2023/12/4, 58
2023/12/5, 58
2023/12/6, 61
2023/12/7, 64
2023/12/8, 74
2023/12/9, 70
2023/12/10, 56
2023/12/11, 51
2023/12/12, 48
2023/12/16, 73
2023/12/17, 60
2023/12/18, 39
2023/12/19, 51
2023/12/20, 52
2023/12/21, 55
2023/12/22, 58
2023/12/23, 61
2023/12/24, 66
2023/12/25, 67
2023/12/26, 71
2023/12/27, 59
2023/12/28, 52
2023/12/29, 66
2023/12/30, 52
2023/12/31, 44
2024/1/1, 48
2023/7/2, 57
2023/7/3, 56
2023/7/4, 51
2023/7/5, 49
2023/7/6, 61
2023/7/7, 58
2023/7/8, 61
2023/7/9, 61
2023/7/10, 55
2023/7/11, 53
2023/7/12, 57
2023/7/13, 60
2023/7/14, 57
2023/7/15, 61
2023/7/16, 58
2023/7/17, 54
2023/7/18, 52
2023/7/19, 56
2023/7/20, 55
2023/7/21, 48
2023/7/22, 47
2023/7/23, 52
2023/7/24, 57
2023/7/25, 59
2023/7/26, 65
2023/7/27, 74
2023/7/28, 78
2023/7/29, 77
2023/7/30, 61
2023/7/31, 52
2023/8/1, 50
2023/8/2, 58
2023/8/3, 58
2023/8/4, 61
2023/8/5, 69
2023/8/6, 66
2023/8/7, 59
2023/8/8, 57
2023/8/9, 61
2023/8/10, 74
2023/8/11, 77
2023/8/12, 67
2023/8/13, 61
2023/8/14, 53
2023/8/15, 56
2023/8/16, 57
2023/8/17, 63
2023/8/18, 64
2023/8/19, 72
2023/8/20, 77
2023/8/21, 60
2023/8/22, 54
2023/8/23, 46
2023/8/24, 56
2023/8/25, 66
2023/8/26, 67
2023/8/27, 65
2023/8/28, 60
2023/8/29, 63
2023/8/30, 61
2023/8/31, 63
2023/9/1, 60
2023/9/2, 69
2023/9/3, 65
2023/9/4, 63
2023/9/5, 62
2023/9/6, 60
2023/9/7, 59
2023/9/8, 63
2023/9/9, 73
2023/9/10, 75
2023/9/11, 70
2023/9/12, 62
2023/9/13, 58
2023/9/14, 58
2023/9/15, 61
2023/9/16, 62
2023/9/17, 67
2023/9/18, 70
2023/9/19, 71
2023/9/20, 74
2023/9/21, 68
2023/9/22, 64
2023/9/23, 72
2023/9/24, 66
2023/9/25, 67
2023/9/26, 72
2023/9/27, 71
2023/9/28, 72
2023/9/29, 69
2023/9/30, 68
2023/10/1, 70
2023/4/2, 90
2023/4/3, 80
2023/4/4, 71
2023/4/5, 68
2023/4/6, 78
2023/4/7, 77
2023/4/8, 51
2023/4/9, 57
2023/4/10, 60
2023/4/11, 60
2023/4/12, 65
2023/4/13, 75
2023/4/14, 74
2023/4/15, 78
2023/4/16, 87
2023/4/17, 75
2023/4/18, 60
2023/4/20, 62
2023/4/21, 64
2023/4/22, 57
2023/4/23, 53
2023/4/24, 46
2023/4/25, 49
2023/4/26, 59
2023/4/27, 62
2023/4/28, 72
2023/4/29, 63
2023/4/30, 56
2023/5/1, 59
2023/5/2, 55
2023/5/3, 52
2023/5/4, 59
2023/5/5, 62
2023/5/6, 65
2023/5/7, 70
2023/5/8, 73
2023/5/9, 62
2023/5/10, 66
2023/5/11, 68
2023/5/12, 71
2023/5/13, 67
2023/5/14, 69
2023/5/15, 61
2023/5/16, 60
2023/5/17, 72
2023/5/18, 72
2023/5/19, 66
2023/5/20, 67
2023/5/21, 63
2023/5/22, 56
2023/5/23, 55
2023/5/24, 55
2023/5/25, 63
2023/5/26, 66
2023/5/27, 59
2023/5/28, 85
2023/5/29, 62
2023/5/30, 54
2023/5/31, 52
2023/6/1, 62
2023/6/2, 63
2023/6/3, 55
2023/6/4, 54
2023/6/5, 65
2023/6/6, 64
2023/6/7, 60
2023/6/8, 63
2023/6/9, 65
2023/6/10, 68
2023/6/11, 60
2023/6/12, 48
2023/6/13, 50
2023/6/14, 56
2023/6/15, 55
2023/6/16, 55
2023/6/17, 61
2023/6/18, 64
2023/6/19, 52
2023/6/20, 39
2023/6/21, 52
2023/6/22, 57
2023/6/23, 60
2023/6/24, 64
2023/6/25, 59
2023/6/26, 55
2023/6/27, 60
2023/6/28, 65
2023/6/29, 58
2023/6/30, 60
2023/7/1, 55
2023/1/3, 65
2023/1/4, 48
2023/1/5, 48
2023/1/6, 55
2023/1/7, 65
2023/1/8, 61
2023/1/9, 51
2023/1/10, 54
2023/1/11, 49
2023/1/12, 58
2023/1/13, 58
2023/1/14, 54
2023/1/15, 56
2023/1/16, 60
2023/1/17, 56
2023/1/18, 62
2023/1/19, 63
2023/1/20, 69
2023/1/21, 67
2023/1/22, 63
2023/1/23, 66
2023/1/24, 61
2023/1/25, 60
2023/1/26, 62
2023/1/27, 68
2023/1/28, 67
2023/1/29, 69
2023/1/30, 66
2023/1/31, 70
2023/2/1, 75
2023/2/2, 76
2023/2/3, 77
2023/2/4, 84
2023/2/5, 91
2023/2/6, 88
2023/2/7, 77
2023/2/8, 75
2023/2/9, 71
2023/2/10, 67
2023/2/11, 74
2023/2/12, 80
2023/2/13, 77
2023/2/14, 77
2023/2/15, 72
2023/2/16, 70
2023/2/17, 69
2023/2/18, 77
2023/2/19, 70
2023/2/20, 66
2023/2/21, 72
2023/2/22, 81
2023/2/23, 80
2023/2/24, 84
2023/2/25, 101
2023/2/26, 107
2023/2/27, 100
2023/2/28, 109
2023/3/1, 87
2023/3/2, 79
2023/3/3, 76
2023/3/4, 85
2023/3/5, 79
2023/3/6, 62
2023/3/7, 61
2023/3/8, 63
2023/3/9, 83
2023/3/10, 85
2023/3/11, 87
2023/3/12, 69
2023/3/13, 54
2023/3/14, 56
2023/3/15, 58
2023/3/16, 61
2023/3/17, 58
2023/3/18, 65
2023/3/19, 58
2023/3/20, 56
2023/3/21, 68
2023/3/22, 85
2023/3/23, 100
2023/3/24, 112
2023/3/25, 117
2023/3/26, 98
2023/3/27, 99
2023/3/28, 93
2023/3/29, 84
2023/3/30, 75
2023/3/31, 80
2023/4/1, 83
2022/10/2, 64
2022/10/3, 55
2022/10/4, 30
2022/10/5, 37
2022/10/6, 35
2022/10/7, 41
2022/10/8, 46
2022/10/9, 28
2022/10/10, 34
2022/10/11, 44
2022/10/12, 46
2022/10/13, 45
2022/10/14, 41
2022/10/15, 62
2022/10/16, 60
2022/10/17, 52
2022/10/18, 27
2022/10/19, 42
2022/10/20, 57
2022/10/21, 43
2022/10/22, 36
2022/10/23, 54
2022/10/24, 42
2022/10/25, 30
2022/10/26, 40
2022/10/27, 39
2022/10/28, 25
2022/10/29, 36
2022/10/30, 24
2022/10/31, 28
2022/11/1, 43
2022/11/2, 65
2022/11/3, 59
2022/11/4, 47
2022/11/5, 25
2022/11/6, 12
2022/11/7, 9
2022/11/8, 23
2022/11/9, 35
2022/11/10, 38
2022/11/11, 35
2022/11/12, 54
2022/11/13, 46
2022/11/14, 21
2022/11/15, 17
2022/11/16, 34
2022/11/17, 47
2022/11/18, 51
2022/11/19, 47
2022/11/20, 51
2022/11/21, 56
2022/11/22, 47
2022/11/23, 44
2022/11/27, 63
2022/11/28, 66
2022/11/29, 56
2022/11/30, 49
2022/12/1, 51
2022/12/2, 67
2022/12/3, 57
2022/12/4, 54
2022/12/5, 57
2022/12/6, 47
2022/12/7, 60
2022/12/8, 63
2022/12/9, 61
2022/12/10, 61
2022/12/11, 73
2022/12/12, 68
2022/12/13, 57
2022/12/14, 61
2022/12/15, 60
2022/12/16, 58
2022/12/17, 62
2022/12/18, 59
2022/12/19, 61
2022/12/20, 59
2022/12/21, 66
2022/12/22, 70
2022/12/23, 71
2022/12/24, 71
2022/12/25, 73
2022/12/26, 71
2022/12/27, 66
2022/12/28, 63
2022/12/29, 66
2022/12/30, 74
2022/12/31, 62
2023/1/1, 66
2023/1/2, 73
2022/7/2, 52
2022/7/3, 70
2022/7/4, 59
2022/7/5, 45
2022/7/6, 48
2022/7/7, 59
2022/7/8, 57
2022/7/9, 57
2022/7/10, 53
2022/7/11, 55
2022/7/12, 46
2022/7/13, 61
2022/7/14, 58
2022/7/15, 56
2022/7/16, 62
2022/7/17, 63
2022/7/18, 59
2022/7/19, 53
2022/7/20, 52
2022/7/21, 59
2022/7/22, 63
2022/7/23, 68
2022/7/24, 63
2022/7/25, 59
2022/7/26, 55
2022/7/27, 60
2022/7/28, 72
2022/7/29, 68
2022/7/30, 67
2022/7/31, 60
2022/8/1, 58
2022/8/2, 58
2022/8/3, 66
2022/8/4, 60
2022/8/5, 68
2022/8/6, 64
2022/8/7, 60
2022/8/8, 56
2022/8/9, 51
2022/8/10, 53
2022/8/11, 60
2022/8/12, 60
2022/8/13, 71
2022/8/14, 64
2022/8/15, 57
2022/8/16, 52
2022/8/17, 46
2022/8/18, 53
2022/8/19, 59
2022/8/20, 61
2022/8/21, 63
2022/8/22, 53
2022/8/23, 57
2022/8/24, 71
2022/8/25, 72
2022/8/26, 85
2022/8/27, 78
2022/8/28, 78
2022/8/29, 74
2022/8/31, 55
2022/9/1, 61
2022/9/2, 63
2022/9/3, 62
2022/9/4, 64
2022/9/5, 58
2022/9/6, 64
2022/9/7, 81
2022/9/8, 77
2022/9/9, 52
2022/9/10, 43
2022/9/11, 51
2022/9/12, 35
2022/9/13, 24
2022/9/14, 36
2022/9/15, 49
2022/9/16, 55
2022/9/17, 40
2022/9/18, 45
2022/9/19, 44
2022/9/20, 23
2022/9/21, 32
2022/9/22, 46
2022/9/23, 52
2022/9/24, 66
2022/9/25, 60
2022/9/26, 53
2022/9/27, 49
2022/9/28, 48
2022/9/29, 49
2022/9/30, 36
2022/10/1, 51
2022/4/2, 63
2022/4/3, 68
2022/4/4, 66
2022/4/5, 58
2022/4/6, 53
2022/4/7, 56
2022/4/8, 53
2022/4/9, 63
2022/4/10, 63
2022/4/11, 58
2022/4/12, 59
2022/4/13, 59
2022/4/14, 63
2022/4/15, 76
2022/4/16, 67
2022/4/17, 55
2022/4/18, 39
2022/4/19, 57
2022/4/20, 40
2022/4/21, 33
2022/4/22, 57
2022/4/23, 50
2022/4/24, 46
2022/4/25, 42
2022/4/26, 43
2022/4/27, 56
2022/4/28, 58
2022/4/29, 50
2022/4/30, 35
2022/5/1, 43
2022/5/2, 38
2022/5/3, 38
2022/5/4, 42
2022/5/5, 55
2022/5/6, 57
2022/5/7, 49
2022/5/8, 47
2022/5/9, 32
2022/5/10, 46
2022/5/11, 45
2022/5/12, 51
2022/5/13, 63
2022/5/14, 60
2022/5/15, 52
2022/5/16, 51
2022/5/17, 49
2022/5/18, 56
2022/5/19, 66
2022/5/20, 56
2022/5/21, 57
2022/5/22, 60
2022/5/23, 55
2022/5/24, 45
2022/5/25, 47
2022/6/2, 59
2022/6/3, 55
2022/6/4, 56
2022/6/5, 66
2022/6/7, 67
2022/6/8, 75
2022/6/9, 55
2022/6/10, 54
2022/6/11, 64
2022/6/12, 52
2022/6/13, 48
2022/6/14, 50
2022/6/15, 40
2022/6/16, 47
2022/6/17, 64
2022/6/18, 66
2022/6/19, 61
2022/6/20, 40
2022/6/21, 41
2022/6/22, 53
2022/6/23, 61
2022/6/24, 62
2022/6/25, 55
2022/6/26, 51
2022/6/27, 50
2022/6/28, 40
2022/6/29, 39
2022/6/30, 52
2022/7/1, 52
2022/1/4, 60
2022/1/5, 60
2022/1/6, 61
2022/1/7, 63
2022/1/8, 58
2022/1/9, 56
2022/1/10, 61
2022/1/11, 59
2022/1/12, 51
2022/1/13, 55
2022/1/14, 46
2022/1/15, 52
2022/1/16, 55
2022/1/17, 55
2022/1/18, 62
2022/1/19, 64
2022/1/20, 64
2022/1/21, 61
2022/1/22, 66
2022/1/23, 76
2022/1/24, 69
2022/1/25, 62
2022/1/26, 67
2022/1/27, 66
2022/1/28, 71
2022/1/29, 69
2022/1/30, 71
2022/1/31, 68
2022/2/1, 60
2022/2/2, 70
2022/2/3, 70
2022/2/4, 77
2022/2/5, 85
2022/2/6, 81
2022/2/7, 72
2022/2/8, 66
2022/2/9, 72
