date, pm25
2024/3/18, 86
2024/3/19, 80
2024/3/20, 66
2024/3/21, 80
2024/3/22, 76
2024/3/23, 75
2024/3/24, 85
2024/3/25, 90
2024/3/26, 75
2024/3/27, 70
2024/3/28, 87
2024/3/29, 85
2024/3/30, 76
2024/3/31, 80
2024/4/1, 92
2023/10/2, 44
2023/10/3, 42
2023/10/4, 53
2023/10/5, 51
2023/10/6, 46
2023/10/7, 59
2023/10/8, 65
2023/10/9, 49
2023/10/10, 56
2023/10/11, 66
2023/10/12, 58
2023/10/13, 61
2023/10/14, 59
2023/10/15, 62
2023/10/16, 62
2023/10/17, 45
2023/10/18, 47
2023/10/19, 62
2023/10/20, 64
2023/10/21, 67
2023/10/22, 53
2023/10/23, 56
2023/10/24, 59
2023/10/25, 57
2023/10/26, 62
2023/10/27, 65
2023/10/28, 42
2023/10/29, 20
2023/10/30, 19
2023/10/31, 34
2023/11/1, 42
2023/11/2, 56
2023/11/3, 51
2023/11/4, 40
2023/11/5, 46
2023/11/6, 53
2023/11/7, 42
2023/11/8, 45
2023/11/9, 53
2023/11/10, 61
2023/11/11, 63
2023/11/12, 62
2023/11/13, 56
2023/11/14, 47
2023/11/15, 50
2023/11/16, 45
2023/11/17, 36
2023/11/18, 55
2023/11/19, 48
2023/11/20, 40
2023/11/21, 42
2023/11/22, 44
2023/11/23, 44
2023/11/24, 51
2023/11/25, 51
2023/11/26, 48
2023/11/27, 42
2023/11/28, 38
2023/11/29, 37
2023/11/30, 46
2023/12/1, 52
2023/12/2, 61
2023/12/3, 54
2023/12/4, 57
2023/12/5, 55
2023/12/6, 58
2023/12/7, 65
2023/12/8, 72
2023/12/9, 75
2023/12/10, 61
2023/12/11, 54
2023/12/12, 53
2023/12/13, 55
2023/12/14, 61
2023/12/15, 67
2023/12/16, 71
2023/12/17, 68
2023/12/18, 49
2023/12/19, 50
2023/12/20, 47
2023/12/21, 53
2023/12/22, 57
2023/12/23, 60
2023/12/24, 65
2023/12/25, 64
2023/12/26, 72
2023/12/27, 59
2023/12/28, 45
2023/12/29, 60
2023/12/30, 47
2023/12/31, 52
2024/1/1, 51
2023/7/2, 40
2023/7/3, 42
2023/7/4, 37
2023/7/5, 43
2023/7/6, 52
2023/7/7, 51
2023/7/8, 56
2023/7/9, 54
2023/7/10, 45
2023/7/11, 36
2023/7/12, 35
2023/7/13, 47
2023/7/14, 43
2023/7/15, 46
2023/7/16, 50
2023/7/17, 36
2023/7/18, 32
2023/7/19, 37
2023/7/20, 35
2023/7/21, 28
2023/7/22, 27
2023/7/23, 35
2023/7/24, 37
2023/7/25, 39
2023/7/26, 54
2023/7/27, 63
2023/7/28, 69
2023/7/29, 53
2023/7/30, 43
2023/8/2, 51
2023/8/3, 39
2023/8/4, 48
2023/8/5, 51
2023/8/6, 54
2023/8/7, 45
2023/8/8, 38
2023/8/9, 42
2023/8/10, 55
2023/8/11, 56
2023/8/12, 48
2023/8/13, 42
2023/8/14, 37
2023/8/15, 39
2023/8/16, 47
2023/8/17, 57
2023/8/18, 55
2023/8/19, 50
2023/8/20, 60
2023/8/21, 53
2023/8/22, 48
2023/8/23, 37
2023/8/24, 46
2023/8/25, 56
2023/8/26, 53
2023/8/27, 51
2023/8/28, 54
2023/8/29, 56
2023/8/30, 53
2023/8/31, 54
2023/9/1, 51
2023/9/2, 58
2023/9/3, 58
2023/9/4, 50
2023/9/5, 44
2023/9/6, 42
2023/9/7, 38
2023/9/8, 45
2023/9/9, 58
2023/9/10, 62
2023/9/11, 53
2023/9/12, 36
2023/9/13, 34
2023/9/14, 43
2023/9/15, 51
2023/9/16, 50
2023/9/17, 51
2023/9/18, 50
2023/9/19, 49
2023/9/20, 57
2023/9/21, 53
2023/9/22, 54
2023/9/23, 60
2023/9/24, 59
2023/9/25, 59
2023/9/26, 60
2023/9/27, 62
2023/9/28, 60
2023/9/29, 57
2023/9/30, 58
2023/10/1, 55
2023/4/2, 78
2023/4/3, 66
2023/4/4, 56
2023/4/5, 58
2023/4/6, 71
2023/4/7, 66
2023/4/8, 37
2023/4/9, 41
2023/4/10, 45
2023/4/11, 50
2023/4/12, 54
2023/4/13, 60
2023/4/14, 62
2023/4/15, 67
2023/4/16, 76
2023/4/17, 65
2023/4/18, 45
2023/4/19, 56
2023/4/20, 61
2023/4/21, 62
2023/4/22, 60
2023/4/23, 50
2023/4/24, 41
2023/4/25, 42
2023/4/26, 54
2023/4/27, 52
2023/4/28, 59
2023/4/29, 58
2023/4/30, 50
2023/5/1, 51
2023/5/2, 44
2023/5/3, 46
2023/5/4, 49
2023/5/5, 55
2023/5/6, 56
2023/5/7, 57
2023/5/8, 62
2023/5/9, 55
2023/5/10, 62
2023/5/11, 61
2023/5/12, 63
2023/5/13, 61
2023/5/14, 61
2023/5/15, 57
2023/5/16, 51
2023/5/17, 61
2023/5/18, 60
2023/5/19, 56
2023/5/20, 58
2023/5/21, 54
2023/5/22, 50
2023/5/23, 52
2023/5/24, 43
2023/5/25, 54
2023/5/26, 61
2023/5/27, 49
2023/5/31, 44
2023/6/1, 51
2023/6/2, 54
2023/6/3, 58
2023/6/4, 44
2023/6/5, 60
2023/6/6, 55
2023/6/7, 53
2023/6/8, 53
2023/6/9, 56
2023/6/10, 54
2023/6/11, 51
2023/6/12, 42
2023/6/13, 29
2023/6/14, 39
2023/6/15, 44
2023/6/16, 46
2023/6/17, 43
2023/6/18, 42
2023/6/19, 34
2023/6/20, 19
2023/6/21, 31
2023/6/22, 39
2023/6/23, 49
2023/6/24, 53
2023/6/25, 54
2023/6/26, 48
2023/6/27, 55
2023/6/28, 60
2023/6/29, 46
2023/6/30, 48
2023/7/1, 39
2023/1/3, 58
2023/1/4, 49
2023/1/5, 52
2023/1/6, 51
2023/1/7, 56
2023/1/8, 59
2023/1/9, 57
2023/1/10, 55
2023/1/11, 49
2023/1/12, 51
2023/1/13, 55
2023/1/14, 58
2023/1/15, 57
2023/1/16, 52
2023/1/17, 53
2023/1/18, 62
2023/1/19, 56
2023/1/20, 56
2023/1/21, 63
2023/1/22, 63
2023/1/23, 66
2023/1/24, 62
2023/1/25, 56
2023/1/26, 57
2023/1/27, 60
2023/1/28, 61
2023/1/29, 61
2023/1/30, 61
2023/1/31, 69
2023/2/1, 64
2023/2/2, 65
2023/2/3, 69
2023/2/4, 77
2023/2/5, 83
2023/2/6, 80
2023/2/7, 73
2023/2/8, 65
2023/2/9, 63
2023/2/10, 61
2023/2/11, 67
2023/2/12, 67
2023/2/13, 70
2023/2/14, 67
2023/2/15, 62
2023/2/16, 61
2023/2/17, 66
2023/2/18, 61
2023/2/19, 57
2023/2/20, 55
2023/2/21, 55
2023/2/22, 81
2023/2/23, 76
2023/2/24, 74
2023/2/25, 84
2023/2/26, 91
2023/2/27, 95
2023/2/28, 98
2023/3/1, 88
2023/3/2, 69
2023/3/3, 71
2023/3/4, 77
2023/3/5, 71
2023/3/6, 54
2023/3/7, 54
2023/3/8, 56
2023/3/9, 60
2023/3/10, 68
2023/3/11, 77
2023/3/12, 67
2023/3/13, 54
2023/3/14, 41
2023/3/15, 59
2023/3/16, 62
2023/3/17, 55
2023/3/18, 54
2023/3/19, 54
2023/3/20, 48
2023/3/21, 58
2023/3/22, 75
2023/3/23, 85
2023/3/24, 95
2023/3/25, 96
2023/3/26, 84
2023/3/27, 89
2023/3/28, 88
2023/3/29, 78
2023/3/30, 67
2023/3/31, 69
2023/4/1, 71
2022/10/2, 63
2022/10/3, 57
2022/10/4, 47
2022/10/5, 58
2022/10/6, 54
2022/10/7, 53
2022/10/8, 50
2022/10/9, 37
2022/10/10, 48
2022/10/11, 51
2022/10/12, 56
2022/10/13, 60
2022/10/14, 56
2022/10/15, 67
2022/10/16, 70
2022/10/17, 61
2022/10/18, 39
2022/10/19, 47
2022/10/20, 49
2022/10/21, 56
2022/10/22, 64
2022/10/23, 68
2022/10/24, 50
2022/10/25, 47
2022/10/26, 51
2022/10/27, 53
2022/10/28, 42
2022/10/29, 51
2022/10/30, 43
2022/10/31, 34
2022/11/1, 48
2022/11/2, 56
2022/11/3, 64
2022/11/4, 60
2022/11/5, 49
2022/11/6, 26
2022/11/7, 22
2022/11/8, 33
2022/11/9, 42
2022/11/10, 42
2022/11/11, 40
2022/11/12, 54
2022/11/13, 53
2022/11/14, 29
2022/11/15, 29
2022/11/16, 49
2022/11/17, 65
2022/11/18, 60
2022/11/19, 55
2022/11/20, 62
2022/11/21, 71
2022/11/22, 61
2022/11/23, 54
2022/11/24, 43
2022/11/25, 45
2022/11/26, 59
2022/11/27, 66
2022/11/28, 62
2022/11/29, 40
2022/11/30, 43
2022/12/1, 54
2022/12/2, 54
2022/12/3, 50
2022/12/4, 43
2022/12/5, 42
2022/12/6, 40
2022/12/7, 51
2022/12/8, 62
2022/12/9, 61
2022/12/10, 56
2022/12/11, 68
2022/12/12, 73
2022/12/13, 64
2022/12/14, 60
2022/12/15, 59
2022/12/16, 56
2022/12/17, 58
2022/12/18, 58
2022/12/19, 62
2022/12/20, 58
2022/12/21, 63
2022/12/22, 72
2022/12/23, 74
2022/12/24, 73
2022/12/25, 72
2022/12/26, 71
2022/12/27, 70
2022/12/28, 64
2022/12/29, 65
2022/12/30, 67
2022/12/31, 60
2023/1/1, 67
2023/1/2, 83
2022/7/2, 54
2022/7/3, 64
2022/7/4, 52
2022/7/5, 30
2022/7/6, 30
2022/7/7, 44
2022/7/8, 52
2022/7/9, 54
2022/7/10, 45
2022/7/11, 33
2022/7/12, 42
2022/7/13, 55
2022/7/14, 53
2022/7/15, 53
2022/7/16, 56
2022/7/17, 66
2022/7/18, 53
2022/7/19, 44
2022/7/20, 35
2022/7/21, 47
2022/7/22, 54
2022/7/23, 59
2022/7/24, 54
2022/7/25, 52
2022/7/26, 40
2022/7/27, 50
2022/7/28, 57
2022/7/29, 45
2022/7/30, 48
2022/7/31, 42
2022/8/1, 48
2022/8/2, 44
2022/8/3, 44
2022/8/4, 57
2022/8/5, 60
2022/8/6, 56
2022/8/7, 54
2022/8/8, 49
2022/8/9, 38
2022/8/10, 46
2022/8/11, 47
2022/8/12, 44
2022/8/13, 62
2022/8/14, 56
2022/8/15, 46
2022/8/16, 33
2022/8/17, 39
2022/8/18, 44
2022/8/19, 50
2022/8/20, 60
2022/8/21, 54
2022/8/22, 41
2022/8/23, 48
2022/8/24, 61
2022/8/25, 66
2022/8/26, 77
2022/8/27, 73
2022/8/28, 73
2022/8/29, 60
2022/8/30, 47
2022/8/31, 54
2022/9/1, 55
2022/9/2, 66
2022/9/3, 61
2022/9/4, 56
2022/9/5, 51
2022/9/6, 58
2022/9/7, 77
2022/9/8, 72
2022/9/9, 58
2022/9/10, 56
2022/9/11, 62
2022/9/12, 51
2022/9/13, 42
2022/9/14, 50
2022/9/15, 46
2022/9/16, 60
2022/9/17, 52
2022/9/18, 56
2022/9/19, 56
2022/9/20, 38
2022/9/21, 49
2022/9/22, 61
2022/9/23, 57
2022/9/24, 56
2022/9/25, 66
2022/9/26, 59
2022/9/27, 52
2022/9/28, 58
2022/9/29, 54
2022/9/30, 46
2022/10/1, 57
2022/4/2, 62
2022/4/3, 64
2022/4/4, 69
2022/4/5, 53
2022/4/6, 53
2022/4/7, 55
2022/4/8, 51
2022/4/9, 62
2022/4/10, 61
2022/4/11, 57
2022/4/12, 57
2022/4/13, 61
2022/4/14, 66
2022/4/15, 74
2022/4/16, 67
2022/4/17, 58
2022/4/18, 40
2022/4/19, 50
2022/4/20, 48
2022/4/21, 43
2022/4/22, 58
2022/4/23, 40
2022/4/24, 34
2022/4/25, 39
2022/4/26, 48
2022/4/27, 56
2022/5/1, 54
2022/5/2, 49
2022/5/3, 41
2022/5/4, 44
2022/5/6, 57
2022/5/7, 55
2022/5/8, 46
2022/5/9, 44
2022/5/10, 50
2022/5/11, 53
2022/5/12, 54
2022/5/13, 60
2022/5/14, 64
2022/5/15, 54
2022/5/16, 50
2022/5/17, 40
2022/5/18, 53
2022/5/19, 58
2022/5/20, 56
2022/5/21, 55
2022/5/22, 56
2022/5/23, 56
2022/5/24, 44
2022/5/25, 41
2022/5/26, 60
2022/5/27, 60
2022/5/28, 59
2022/5/29, 55
2022/5/30, 46
2022/5/31, 40
2022/6/1, 41
2022/6/2, 52
2022/6/3, 50
2022/6/4, 52
2022/6/5, 59
2022/6/7, 57
2022/6/8, 69
2022/6/9, 48
2022/6/10, 60
2022/6/11, 58
2022/6/12, 54
2022/6/13, 47
2022/6/14, 47
2022/6/15, 39
2022/6/16, 47
2022/6/17, 54
2022/6/18, 61
2022/6/19, 56
