date, pm25
2024/3/27, 73
2024/3/28, 89
2024/3/29, 90
2024/3/30, 82
2024/3/31, 86
2024/4/1, 109
2023/10/2, 39
2023/10/3, 36
2023/10/4, 47
2023/10/5, 60
2023/10/6, 68
2023/10/7, 61
2023/10/8, 53
2023/10/9, 49
2023/10/10, 62
2023/10/11, 54
2023/10/12, 56
2023/10/13, 61
2023/10/14, 52
2023/10/15, 55
2023/10/16, 59
2023/10/17, 49
2023/10/18, 50
2023/10/19, 61
2023/10/20, 62
2023/10/21, 60
2023/10/22, 66
2023/10/23, 64
2023/10/24, 55
2023/10/25, 51
2023/10/26, 72
2023/10/27, 79
2023/10/28, 65
2023/10/29, 48
2023/10/30, 44
2023/10/31, 33
2023/11/1, 37
2023/11/2, 47
2023/11/3, 48
2023/11/4, 49
2023/11/5, 54
2023/11/6, 46
2023/11/7, 43
2023/11/8, 44
2023/11/9, 54
2023/11/10, 57
2023/11/11, 54
2023/11/12, 53
2023/11/13, 57
2023/11/14, 47
2023/11/15, 53
2023/11/16, 57
2023/11/17, 62
2023/11/18, 63
2023/11/19, 43
2023/11/20, 44
2023/11/21, 36
2023/11/22, 42
2023/11/23, 42
2023/11/24, 40
2023/11/25, 44
2023/11/26, 53
2023/11/27, 43
2023/11/28, 40
2023/11/29, 42
2023/11/30, 51
2023/12/1, 53
2023/12/2, 55
2023/12/3, 52
2023/12/4, 56
2023/12/5, 58
2023/12/6, 62
2023/12/7, 65
2023/12/8, 66
2023/12/9, 60
2023/12/10, 56
2023/12/11, 60
2023/12/12, 55
2023/12/13, 53
2023/12/14, 57
2023/12/15, 62
2023/12/16, 65
2023/12/17, 58
2023/12/18, 48
2023/12/19, 42
2023/12/20, 46
2023/12/21, 49
2023/12/22, 54
2023/12/23, 54
2023/12/24, 58
2023/12/25, 61
2023/12/26, 63
2023/12/27, 52
2023/12/28, 37
2023/12/29, 49
2023/12/30, 56
2023/12/31, 47
2024/1/1, 34
2023/7/2, 46
2023/7/3, 40
2023/7/4, 50
2023/7/5, 48
2023/7/6, 48
2023/7/7, 40
2023/7/8, 47
2023/7/9, 47
2023/7/10, 45
